modelo,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,pontuacao_selecao
random_forest,0.5717993079584776,0.591492346785168,0.522439585730725,0.850187265917603,0.647184604419102,0.7011166708816552,0.6804276388117604,207.0,415.0,80.0,454.0,0.693875509657192
regressao_logistica,0.6280276816608996,0.6244023748449485,0.6015625,0.5767790262172284,0.5889101338432122,0.6993478810650674,0.6411424494031346,418.0,204.0,226.0,308.0,0.6789759799833909
xgboost,0.6245674740484429,0.6362886424124186,0.5672043010752689,0.7902621722846442,0.6604068857589984,0.6912445656755422,0.65238998226019,300.0,322.0,112.0,422.0,0.6776454614801688
mlp,0.6167820069204152,0.6162042222141937,0.5813953488372093,0.6086142322097379,0.5946935041171089,0.6505021857726074,0.5843897348443386,388.0,234.0,209.0,325.0,0.6273628279477134
