modelo,accuracy_media,accuracy_desvio,roc_auc_media,roc_auc_desvio,pr_auc_media,pr_auc_desvio,f1_media,f1_desvio,precision_media,precision_desvio,recall_media,recall_desvio
mlp,0.9653133689839573,0.003785537353297722,0.9914944587590766,0.0034314020055395095,0.9938121149835977,0.002915049680192371,0.9719861518664109,0.0031307539457589508,0.9658350249681519,0.0067076705548026515,0.9783286278938453,0.009062691894454442
xgboost,0.9460991087344028,0.007282587562727296,0.9885599485610731,0.003971024154793796,0.9922780595467359,0.0033976935840680763,0.9569244149997974,0.005812415470569285,0.9413116956227233,0.0071985821827812765,0.9730999435347261,0.006994226035474564
random_forest,0.9044691622103386,0.014752499650731105,0.9654770793715695,0.0037152339880830417,0.976102125264708,0.0028467664040375596,0.9259973025645276,0.010526096794231455,0.886440657708938,0.021204555559276483,0.9696442687747036,0.007244097309280078
regressao_logistica,0.8938067736185383,0.018215664334309326,0.9408901049114693,0.016173594360191994,0.9454335936668826,0.025350331602584337,0.9125473668575361,0.016080264976851298,0.9228010942693274,0.005210022400581663,0.902875964615095,0.02823102172429669
