threshold,precision,recall,f1,f2,model
0.15,0.6456692913385826,0.8961748633879781,0.7505720823798627,0.8316430020283976,baseline_regra_negocio
0.16,0.6530612244897959,0.8743169398907104,0.7476635514018691,0.8188331627430911,baseline_regra_negocio
0.16999999999999998,0.6501079913606912,0.8224043715846995,0.7261761158021713,0.7810067462376752,baseline_regra_negocio
0.18,0.6560364464692483,0.7868852459016393,0.715527950310559,0.7566999474513926,baseline_regra_negocio
0.19,0.6707021791767555,0.7568306010928961,0.711168164313222,0.7378795950985615,baseline_regra_negocio
0.2,0.6750629722921915,0.73224043715847,0.7024901703800787,0.7200429876410532,baseline_regra_negocio
0.21,0.6827956989247311,0.6939890710382514,0.6883468834688347,0.6917211328976035,baseline_regra_negocio
0.22,0.6887608069164265,0.6530054644808743,0.6704067321178121,0.6598564329099945,baseline_regra_negocio
0.22999999999999998,0.7064220183486238,0.6311475409836066,0.6666666666666666,0.644891122278057,baseline_regra_negocio
0.24,0.7161716171617162,0.592896174863388,0.648729446935725,0.6140350877192983,baseline_regra_negocio
0.25,0.7212543554006968,0.5655737704918032,0.6339969372128637,0.5910908052541405,baseline_regra_negocio
0.26,0.7289377289377289,0.5437158469945356,0.622848200312989,0.5728267127230858,baseline_regra_negocio
0.27,0.734375,0.5136612021857924,0.6045016077170418,0.5465116279069767,baseline_regra_negocio
0.28,0.7310924369747899,0.47540983606557374,0.5761589403973509,0.5111633372502937,baseline_regra_negocio
0.29000000000000004,0.7285067873303167,0.43989071038251365,0.5485519591141397,0.47774480712166173,baseline_regra_negocio
0.3,0.7450980392156863,0.41530054644808745,0.5333333333333333,0.4556354916067146,baseline_regra_negocio
0.31,0.7566137566137566,0.3907103825136612,0.5153153153153153,0.4325468844525106,baseline_regra_negocio
0.32,0.7572254335260116,0.35792349726775957,0.48608534322820035,0.4001221747098351,baseline_regra_negocio
0.32999999999999996,0.7549668874172185,0.3114754098360656,0.4410058027079304,0.35294117647058826,baseline_regra_negocio
0.33999999999999997,0.7647058823529411,0.28415300546448086,0.41434262948207173,0.325,baseline_regra_negocio
0.35,0.782258064516129,0.2650273224043716,0.39591836734693875,0.3054156171284635,baseline_regra_negocio
0.36,0.7719298245614035,0.24043715846994534,0.36666666666666664,0.2788339670468948,baseline_regra_negocio
0.37,0.8076923076923077,0.22950819672131148,0.3574468085106383,0.26785714285714285,baseline_regra_negocio
0.38,0.8191489361702128,0.2103825136612022,0.3347826086956522,0.2471116816431322,baseline_regra_negocio
0.39,0.8148148148148148,0.18032786885245902,0.2953020134228188,0.21359223300970873,baseline_regra_negocio
0.4,0.8157894736842105,0.16939890710382513,0.28054298642533937,0.2012987012987013,baseline_regra_negocio
0.41000000000000003,0.8169014084507042,0.15846994535519127,0.2654462242562929,0.18892508143322476,baseline_regra_negocio
0.42000000000000004,0.8153846153846154,0.1448087431693989,0.2459396751740139,0.17331589274035317,baseline_regra_negocio
0.43000000000000005,0.8135593220338984,0.13114754098360656,0.22588235294117648,0.15758371634931057,baseline_regra_negocio
0.43999999999999995,0.8363636363636363,0.12568306010928962,0.21852731591448932,0.15141540487162608,baseline_regra_negocio
0.44999999999999996,0.84,0.11475409836065574,0.20192307692307693,0.13870541611624834,baseline_regra_negocio
0.45999999999999996,0.8222222222222222,0.10109289617486339,0.18004866180048662,0.12259774685222001,baseline_regra_negocio
0.47,0.8205128205128205,0.08743169398907104,0.1580246913580247,0.10645375914836992,baseline_regra_negocio
0.48,0.8157894736842105,0.08469945355191257,0.15346534653465346,0.10319573901464714,baseline_regra_negocio
0.49,0.8181818181818182,0.07377049180327869,0.13533834586466165,0.09018036072144289,baseline_regra_negocio
0.5,0.8125,0.07103825136612021,0.1306532663316583,0.08689839572192513,baseline_regra_negocio
0.51,0.8214285714285714,0.06284153005464481,0.116751269035533,0.07707774798927614,baseline_regra_negocio
0.52,0.8148148148148148,0.060109289617486336,0.11195928753180662,0.07377598926894702,baseline_regra_negocio
0.53,0.782608695652174,0.04918032786885246,0.09254498714652956,0.0605245460659045,baseline_regra_negocio
0.54,0.7894736842105263,0.040983606557377046,0.07792207792207792,0.05057316250842886,baseline_regra_negocio
0.55,0.8235294117647058,0.03825136612021858,0.0731070496083551,0.04726536124240378,baseline_regra_negocio
0.56,0.8125,0.03551912568306011,0.06806282722513089,0.04391891891891892,baseline_regra_negocio
0.57,0.8125,0.03551912568306011,0.06806282722513089,0.04391891891891892,baseline_regra_negocio
0.58,0.8571428571428571,0.03278688524590164,0.06315789473684211,0.04059539918809202,baseline_regra_negocio
0.59,0.8461538461538461,0.030054644808743168,0.05804749340369393,0.037237643872714964,baseline_regra_negocio
0.6,0.8461538461538461,0.030054644808743168,0.05804749340369393,0.037237643872714964,baseline_regra_negocio
0.61,0.8888888888888888,0.02185792349726776,0.042666666666666665,0.027155465037338764,baseline_regra_negocio
0.62,0.8571428571428571,0.01639344262295082,0.032171581769437,0.020394289598912305,baseline_regra_negocio
0.63,0.8,0.01092896174863388,0.0215633423180593,0.013614703880190605,baseline_regra_negocio
0.64,0.8,0.01092896174863388,0.0215633423180593,0.013614703880190605,baseline_regra_negocio
0.65,0.8,0.01092896174863388,0.0215633423180593,0.013614703880190605,baseline_regra_negocio
0.66,1.0,0.00819672131147541,0.016260162601626018,0.010224948875255624,baseline_regra_negocio
0.67,1.0,0.00819672131147541,0.016260162601626018,0.010224948875255624,baseline_regra_negocio
0.68,1.0,0.00546448087431694,0.010869565217391304,0.0068212824010914054,baseline_regra_negocio
0.6900000000000001,1.0,0.00546448087431694,0.010869565217391304,0.0068212824010914054,baseline_regra_negocio
0.7000000000000001,1.0,0.00546448087431694,0.010869565217391304,0.0068212824010914054,baseline_regra_negocio
0.7100000000000001,1.0,0.00546448087431694,0.010869565217391304,0.0068212824010914054,baseline_regra_negocio
0.7200000000000001,1.0,0.00546448087431694,0.010869565217391304,0.0068212824010914054,baseline_regra_negocio
0.73,1.0,0.00273224043715847,0.005449591280653951,0.0034129692832764505,baseline_regra_negocio
0.74,1.0,0.00273224043715847,0.005449591280653951,0.0034129692832764505,baseline_regra_negocio
0.75,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.76,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.77,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.78,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.79,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.8,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.81,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.8200000000000001,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.8300000000000001,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.8400000000000001,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.85,0.0,0.0,0.0,0.0,baseline_regra_negocio
0.15,0.6826923076923077,0.9699453551912568,0.801354401805869,0.8946572580645161,regressao_logistica
0.16,0.688715953307393,0.9672131147540983,0.8045454545454546,0.8948432760364005,regressao_logistica
0.16999999999999998,0.6996047430830039,0.9672131147540983,0.8119266055045872,0.8984771573604061,regressao_logistica
0.18,0.7017892644135189,0.9644808743169399,0.812428078250863,0.8973055414336553,regressao_logistica
0.19,0.704,0.9617486338797814,0.812933025404157,0.8961303462321792,regressao_logistica
0.2,0.7096774193548387,0.9617486338797814,0.8167053364269141,0.8979591836734694,regressao_logistica
0.21,0.7122448979591837,0.953551912568306,0.8154205607476636,0.8930399181166837,regressao_logistica
0.22,0.7169421487603306,0.9480874316939891,0.8164705882352942,0.8906570841889117,regressao_logistica
0.22999999999999998,0.71875,0.9426229508196722,0.8156028368794326,0.8873456790123457,regressao_logistica
0.24,0.7272727272727273,0.9398907103825137,0.8200238379022646,0.8879710893133712,regressao_logistica
0.25,0.7292110874200426,0.9344262295081968,0.8191616766467066,0.8846352819451629,regressao_logistica
0.26,0.7354838709677419,0.9344262295081968,0.8231046931407943,0.8864696734059098,regressao_logistica
0.27,0.7391304347826086,0.9289617486338798,0.8232445520581114,0.8835758835758836,regressao_logistica
0.28,0.74235807860262,0.9289617486338798,0.8252427184466019,0.8844953173777316,regressao_logistica
0.29000000000000004,0.7439293598233996,0.9207650273224044,0.8229548229548229,0.8789775691184142,regressao_logistica
0.3,0.7494407158836689,0.9153005464480874,0.8241082410824109,0.8765044479330194,regressao_logistica
0.31,0.7522522522522522,0.912568306010929,0.8246913580246914,0.8752620545073375,regressao_logistica
0.32,0.7568181818181818,0.9098360655737705,0.826302729528536,0.8744747899159664,regressao_logistica
